;Advertising_num_days;CarName;ID;Price_rub;Seller;Seller_location;Views;Car_age;Gear_box;Parsing date;Autocode_checked;Owners_N;Last_owner_time_years;Warranty_end;Engine_capacity;Engine_hp;Engine_fuel_type;Body_type;Swap_type;Original_car_passport;Wheel_drive_type;run_km;Left_steering;is_metallic_color;Color;Opt_Обивка салона: комбинированный;Opt_Цвет салона: темный;Opt_Тонированные стекла;Opt_Ксеноновые фары;Opt_;"Opt_Легкосплавные диски: 17""";Opt_Иммобилайзер;Opt_Штатная;Opt_Бортовой компьютер;Opt_Датчик дождя;Opt_Датчик света;Opt_Круиз-контроль;Opt_Навигационная система;Opt_Обогрев зеркал;Opt_Омыватель фар;Opt_Центральный замок;Opt_Усилитель руля;Opt_Подогрев руля;Opt_Обогрев сидений;Opt_Количество мест: 5;Opt_Климат: климат-контроль 2-зонный;Opt_Электропривод зеркал;Opt_Стеклоподъемники: электро все;Opt_Сиденье водителя: электро;Opt_Сиденье пассажира: электро ;Opt_Регулировка руля: электро;Opt_Антиблокировочная система (ABS);Opt_Антипробуксовочная система;Opt_Система курсовой устойчивости;Opt_Подушки безопасности: передние и боковые;Opt_Парктроник;Opt_CD;Opt_TV;Opt_Обивка салона: кожа;Opt_Люк на крыше;"Opt_Легкосплавные диски: 16""";Opt_Обратная связь;Opt_Дистанционный запуск двигателя;Opt_Регулировка руля: в одной плоскости;"Opt_Легкосплавные диски: 18""";Opt_Сиденье водителя: с памятью положения;Opt_Регулировка руля: в двух плоскостях;Opt_Цвет салона: светлый;Opt_Подушки безопасности: водителя и пассажира;"Opt_Легкосплавные диски: 12""";Opt_Климат: климат-контроль 1-зонный;Opt_Стеклоподъемники: электро передние;Opt_Сиденье водителя: ручная ;Opt_Сиденье пассажира: ручная ;Opt_Обивка салона: велюр;Opt_Кассетник;Opt_Климат: климат-контроль 3-зонный;Opt_Стеклоподъемники: ручные;Opt_Обивка салона: ткань;Opt_Сиденье пассажира: с памятью положения;Opt_Количество мест: 2;"Opt_Легкосплавные диски: 15""";Opt_Количество мест: 4;"Opt_Легкосплавные диски: 19""";Opt_Сиденье пассажира: ручная по высоте;Opt_Сиденье водителя: ручная по высоте;Opt_Количество мест: 7;Opt_Климат: кондиционер;Opt_Газобаллонное оборудование;"Opt_Легкосплавные диски: 20""";"Opt_Легкосплавные диски: 14""";Opt_Подушки безопасности: водителя;Opt_Количество мест: 6;"Opt_Легкосплавные диски: 13""";"Opt_Легкосплавные диски: 22"""
4444;60.0;Mazda 6 I;1031009109;310000;person;Москва, прочие адреса;211118;11;Автоматическая;2016-04-13;0;not mentioned;1.5833333333333335;0.0;2.0;147.0;бензин;Седан;Не интересует;1.0;Передний;198000.0;1.0;0;Серый;0;1;1;1;0;1;0;0;1;1;1;1;0;1;1;0;1;0;1;0;1;1;1;0;0;0;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4445;4.0;Mazda 6 I;1034980045;285000;person;Москва;16394;10;Механическая;2016-04-13;0;2;1.5833333333333335;0.0;1.8;120.0;бензин;Седан;Не интересует;1.0;Передний;134000.0;1.0;0;Серый;0;1;0;0;0;0;0;0;1;1;1;1;0;1;0;1;1;0;1;0;0;1;1;0;0;0;1;0;0;0;1;1;0;0;0;0;1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
4446;44.0;Mazda 6 II;1032107719;499000;person;Егорьевск, Егорьевск;4917;8;Механическая;2016-04-13;0;2;4.333333333333333;0.0;1.8;120.0;бензин;Седан;Не интересует;1.0;Передний;209000.0;1.0;0;Серый;0;1;1;0;0;0;1;0;1;1;1;1;0;1;1;1;1;0;1;0;1;1;1;0;0;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4447;14.0;Mazda 6 II;1034240280;650000;person;Москва, прочие адреса;83236;5;Автоматическая;2016-04-13;0;2;1.5833333333333335;0.0;2.0;147.0;бензин;Седан;Не интересует;1.0;Передний;114000.0;1.0;0;Черный;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4448;24.0;Mazda 6 II;1033470759;639000;person;Москва, прочие адреса;32410;5;Механическая;2016-04-13;0;not mentioned;1.5833333333333335;0.0;2.0;147.0;бензин;Седан;Не интересует;1.0;Передний;117000.0;1.0;0;Черный;0;1;1;1;0;1;0;0;1;1;1;1;0;1;1;1;1;0;1;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4449;14.0;Mazda 6 II;1034231428;480000;person;Москва, водный стадион;60250;9;Автоматическая;2016-04-13;1;3;1.5833333333333335;0.0;2.0;147.0;бензин;Седан;Не интересует;1.0;Передний;137000.0;1.0;0;Cеребристый;0;1;1;0;0;0;0;1;0;1;1;1;0;1;1;1;1;0;1;0;1;1;1;0;0;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
4450;27.0;Mazda 6 III;1033261301;1450000;person;Москва, прочие адреса;4126109;1;Автоматическая;2016-04-13;0;not mentioned;1.0;1.9658172310177484;2.5;192.0;бензин;Седан;Не интересует;1.0;Передний;10500.0;1.0;0;Черный;0;1;1;1;0;0;1;0;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;0;0;0;1;0;1;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
4451;5.0;Mazda 6 II;1034890217;400000;person;Москва;1199360;8;Механическая;2016-04-13;0;1;0.3333333333333333;0.0;1.8;120.0;бензин;Седан;Не интересует;1.0;Передний;90000.0;1.0;1;Черный;0;0;1;1;0;1;1;1;1;1;1;1;0;1;1;1;1;0;1;0;1;1;1;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4452;112.0;Mazda 6 I;1027632847;320000;person;Москва;277110;11;Автоматическая;2016-04-13;0;2;3.3333333333333335;0.0;2.0;141.0;бензин;Седан;Не интересует;1.0;Передний;270000.0;1.0;0;Серый;0;1;0;1;0;0;0;0;1;0;0;1;0;1;0;1;1;0;0;0;0;1;1;1;0;0;1;1;1;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4453;34.0;Mazda 6 I;1032780291;300000;person;Москва, прочие адреса;188343;9;Автоматическая;2016-04-13;0;1;0.5;0.0;2.0;147.0;бензин;Седан;Не интересует;1.0;Передний;300000.0;1.0;0;Черный;0;1;1;1;0;0;1;0;1;1;0;1;0;0;0;1;1;0;1;0;0;1;1;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
